"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",1-02-20,12,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"2",1-05-20,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"3",1-08-20,22,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"4",1-11-20,3,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"5",NA,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"6",NA,19,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"7",NA,8,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"8",NA,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"9",NA,18,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"10",NA,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"11",2-01-20,24,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"12",2-04-20,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"13",2-07-20,9,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"14",2-10-20,14,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"15",NA,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"16",NA,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"17",NA,13,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"18",NA,33,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"19",NA,17,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"20",NA,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"21",3-06-20,44,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"22",3-09-20,18,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"23",3-12-20,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"24",NA,30,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"25",NA,23,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"26",NA,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"27",NA,21,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"28",NA,18,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"29",NA,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"30",4-02-20,25,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"31",4-05-20,19,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"32",4-08-20,12,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"33",4-11-20,19,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"34",NA,32,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"35",NA,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"36",NA,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"37",NA,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"38",NA,9,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"39",NA,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"40",5-02-20,30,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"41",5-05-20,42,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"42",5-08-20,20,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"43",5-11-20,35,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"44",NA,49,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"45",NA,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"46",NA,22,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"47",NA,23,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"48",NA,9,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"49",NA,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"50",6-01-20,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"51",6-04-20,16,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
"52",6-07-20,33,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
